mysql> select * from recipes;
+------+---------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------+
| id   | name                                                                      | link                                                                                                          |
| 1523 | Cajun Turkey Pot Pie                                                      | http://www.simplyrecipes.com/recipes/cajun_turkey_pot_pie/                                                    |
| 1524 | Calamari Stewed with Tomatoes                                             | http://www.simplyrecipes.com/recipes/calamari_stewed_with_tomatoes/                                           |
| 1525 | Candied Citrus Peel                                                       | http://www.simplyrecipes.com/recipes/candied_citrus_peel/                                                     |
| 1526 | Candied Kumquats                                                          | http://www.simplyrecipes.com/recipes/candied_kumquats/                                                        |
| 1527 | Candied Walnuts                                                           | http://www.simplyrecipes.com/recipes/candied_walnuts/                                                         |
| 1528 | Canned Tomato Salsa                                                       | http://www.simplyrecipes.com/recipes/canned_tomato_salsa/                                                     |
| 1529 | Caponata, Eggplant Relish                                                 | http://www.simplyrecipes.com/recipes/caponata_eggplant_relish/                                                |
| 1530 | Caprese Corn Salad                                                        | http://www.simplyrecipes.com/recipes/caprese_corn_salad/                                                      |
| 1531 | Caprese Mini Sandwiches                                                   | http://www.simplyrecipes.com/recipes/caprese_mini_sandwiches/                                                 |
| 1532 | Caramel Apples                                                            | http://www.simplyrecipes.com/recipes/caramel_apples/                                                          |
| 1533 | Caramel Corn                                                              | http://www.simplyrecipes.com/recipes/caramel_corn/                                                            |
| 1534 | Caramel Sauce                                                             | http://www.simplyrecipes.com/recipes/caramel_sauce/                                                           |
| 1535 | Caramel Walnuts                                                           | http://www.simplyrecipes.com/recipes/caramel_walnuts/                                                         |
| 1536 | Caramelized Fennel and Onions                                             | http://www.simplyrecipes.com/recipes/caramelized_fennel_and_onions/                                           |
| 1537 | Caramelized Nut Tart                                                      | http://www.simplyrecipes.com/recipes/caramelized_nut_tart/                                                    |
| 1538 | Caramelized Onion Dip                                                     | http://www.simplyrecipes.com/recipes/caramelized_onion_dip/                                                   |
| 1539 | Caramelized Onion Quiche                                                  | http://www.simplyrecipes.com/recipes/caramelized_onion_quiche/                                                |
| 1540 | Caramelized Onion Tart with Gorgonzola and Brie                           | http://www.simplyrecipes.com/recipes/caramelized_onion_tart_with_gorgonzola_and_brie/                         |
| 1541 | Caraway Soda Bread                                                        | http://www.simplyrecipes.com/recipes/caraway_soda_bread/                                                      |
| 1542 | Carbonnade: Beef and Beer Stew                                            | http://www.simplyrecipes.com/recipes/carbonnade_beef_and_beer_stew/                                           |
| 1543 | Cardamom Citrus Fruit Salad                                               | http://www.simplyrecipes.com/recipes/cardamom_citrus_fruit_salad/                                             |
| 1544 | Cardamom Honey Chicken                                                    | http://www.simplyrecipes.com/recipes/cardamom_honey_chicken/                                                  |
| 1545 | Carmelita Bars                                                            | http://www.simplyrecipes.com/recipes/carmelita_bars/                                                          |
| 1546 | Carne Asada                                                               | http://www.simplyrecipes.com/recipes/carne_asada/                                                             |
| 1547 | Carnitas                                                                  | http://www.simplyrecipes.com/recipes/carnitas/                                                                |
| 1548 | Carrot Cake                                                               | http://www.simplyrecipes.com/recipes/carrot_cake/                                                             |
| 1549 | Carrot Cake Cupcakes                                                      | http://www.simplyrecipes.com/recipes/carrot_cake_cupcakes/                                                    |
| 1550 | Carrot Soufflé                                                            | http://www.simplyrecipes.com/recipes/carrot_souffle/                                                          |
| 1551 | Cauliflower Purée                                                         | http://www.simplyrecipes.com/recipes/cauliflower_puree/                                                       |
| 1552 | Cauliflower with Pine Nuts and Bacon                                      | http://www.simplyrecipes.com/recipes/cauliflower_with_pine_nuts_and_bacon/                                    |
| 1553 | Celery Root Salad                                                         | http://www.simplyrecipes.com/recipes/celery_root_salad/                                                       |
